user_id,user_name,review_text,helpful_votes,funny_votes,recommendation,date_posted
benwongxdxd,DAT Noob,To those who got it for free: Download mods instead of buying cashgrab dlcs.,3895,96,1,"19 October, 2022"
zeruel132,Zeruel,HEADS UP FOR POTENTIAL BUYERS - The base game will be FREE TO PLAY from Oct 18th. :),1587,16,1,"14 September, 2022"
plaguedoctorbf,plague doctor bf,"It's fun, but it feels empty without the very overpriced DLC.",1126,92,1,"15 October, 2020"
FOTF,José Juan Álvarez,"$764 ""DLC"" for the full game. Go f͏u͏c͏k͏ yourselves, EA.",6607,793,-1,"10 December, 2020"
76561198829520134,Yoshi,Don't buy DLC download mods instead The base game is free because you have to buy 90% of the rest of the game,1613,30,1,"18 October, 2022"
76561199126332614,Galahad,just wish dlc prices were lower lol,794,32,1,"30 November, 2021"
twirly_369,⚜️Twirly,To those who got it for free: Download mods instead of buying cashgrab dlcs.,624,15,1,"23 May, 2023"
76561198160660673,Cid Raines,Sims 4 is a lot of fun but the exorbitant prices on the DLC are just too much. The DLC really adds a lot to the game so not having it hurts.,1653,21,-1,"13 June, 2021"
76561198931293438,cadaverousss,"The game is pretty cool, but seriously. Cmon EA. You couldn't even give us pets for free? EVERY DLC COSTS AS MUCH AS THE GAME. That's like buying another copy! I just hate how you have to put a price tag on every little thing- [Please pay $60.00 to unlock the rest of this review.]",1816,903,1,"26 December, 2020"
Hugtrain,Hugtrain,"This game is great but ITS WAY TOO EXPENSIVE I mean come on! It's 6 years old! Why does the game cost 40 dollars, and every DLC costs the same? The game doesn't feel complete without owning at least 5 DLC packs, but I don't have 482 dollars to throw away at some game from 2014! It's so hard to decide what to buy because there are so many packs that go together, some that aren't complete without another, and some that just have a couple Itmes I really want but is too expensive",1869,80,1,"4 November, 2020"
76561198815334337,mrgazzer89,Congratulations EA you have unlocked a review! to upgrade this review to positive you can purchase our DLC positive review package to enjoy the complete review! now only for 40$!,1892,1524,-1,"December 24, 2021"
Yastunes,𝐘𝐀𝐒™,"$764 ""DLC"" for the full game. Go f͏u͏c͏k͏ yourselves, EA.",1786,162,-1,"June 25, 2023"
DeuSfps,DeuS,To those who got it for free: Download mods instead of buying cashgrab dlcs.,579,6,1,April 18
Kenendy,Kenendy,"$995 ""DLC"" for the full game. Go f͏u͏c͏k͏ yourselves, EA.",2371,252,-1,"March 7, 2023"
76561198820528795,Happy Unlucky,"It is fun. You can spend hours playing it, but the fact that the DLCs cost as much as the base game is outrageous. If there was a ""meh"" rating, I would give it simply because of that.",1001,79,1,"June 25, 2020"
Ultragamer2004,Ultragamer2004,"The game is good, but the DLCs are very expensive. Just add the base game to your Steam account and use EA's DLC unlocker for free access to each and every DLC.",875,41,1,"December 9, 2022"
aholeindustries,hole,to those who got it for free download mods instead of buying cashgrab dlc,466,17,1,February 11
wisecup26,wisecup,if u bought  every dlc in the sims 4 it would roughly cost 700 dollars. you could either buy a ps5 or every dlc in the sims 4,807,331,1,"June 6, 2021"
Jye_Jye,DΩVID,88% off is a damn good price for what it's offering. I recommend it highly. Only downside is... DLC being worth A$ 608.30 with discounts... EA... are you serious. Edit after almost exactly 3 years; Never imagined to see EA of all companies make this game free. I feel really bad for those who spent full price for this.,874,94,1,"November 30, 2020"
76561199229759681,tjlemke99,"While I love the sims, and this entry certainly runs smoother and looks better, with better character customization, that's where the good things about this game stop. It still costs hundreds of dollars to buy all the DLC for this game, and let me tell you that they've made everything into a DLC. Want a pet? DLC. Want to take your Sims out to a restaurant sometimes during the week like a normal person would do? DLC. Want to pretty much do anything with your Sims besides have them sit at home or wait for them to come back from working a job? DLC. It's after you play for a while and decide you want to start doing things, that  you realize you actually can't do sh** until you buy some DLC. This game has been out for years and there still isn't a bundle with all the DLC. I'm not going to buy a single pack, EA, you damn buffoons. I would have been happy to spend up to like $100 total on this game, but now I will stick with the free version and not spend a dime on the stupidly overpriced DLC. I would rather download all the DLC illegally than pay you hundreds for it. Honestly, I'd recommend you just play Sims 3, because there is a ton of included content compared to this game.",649,18,-1,"November 26, 2023"
lorzo-,𝗟𝗼𝗿𝘇𝗼,the sims 2 outsold,698,83,1,January 2
xikay,󠀡󠀡,10/10 love making myself as a sim and drowning myself whenever i'm depressed from looking at the dlc prices,507,533,1,"October 15, 2020"
milesware,Elonian Musket,"There should be a competing title in this genre so that EA won't keep cashing in on this community which has been more and more lenient and tried its best to put up with whatever bs dlc the devs have put together. It's a shame that this franchise has fallen so far. Pros: -Bunch of really nice quality of life features compared to the previous titles Con: -The game feels soulless and cutting corners at every possible opportunity to do so. -DLC price tag unjustified unlike the previous titles -Terrible and baffling game design decisions everywhere, they're some of the most cored features too -Action queue is extremely buggy years after the game's release, the amount of time for a sim to perform action/idling is nonsensical. -Removed sandbox design and put in the older scene/lot system is such a backwards compromise that's almost certainly done for technical/engine limits reason, such a shame to see so much game design potential being thrown into the trash because they chose the easy way out.(As expected, the decision here came back to bite them when they design some of the dlc content, which feels really disrupted by the constant fast travelling",728,8,-1,"July 7, 2020"
Zanturo,Swan Ronson,"I love The Sims. I love The Sims 4. Here's why I don't recommend it. -Still launches through Origin. Buying on Steam just adds another layer of DRM. -If you previously purchased through Origin, you will need to redownload any DLC, even if you already had it installed -Your DLC carries over, the base game does not, which means you'll have to purchase the base game again. -Your DLC doesn't 'unlock' through Steam's store, if you purchased it on Origin (because of course it doesn't) This is probably the worst Steam integration I've ever seen. Don't buy it here if you already own it, just use ""add non-Steam game to library"". It's almost identical and $20 cheaper.",1320,35,-1,"June 20, 2020"
76561199058242183,🆂🅸🅽🅰🅻🅰🆄,DLC are so expensive and the EA Apps makes it even worst.,1684,44,-1,"June 2, 2022"
76561198413922918,Maxi,"It´s a relly good game, but the prices for the DLCs are simply disgusting as you would expect from EA. 7/10, The Sims series is good, but the DLC prices are outrageous.",336,7,1,"June 12, 2022"
soylentwill,soylentWill,It really should be free on Steam if you own it on Origin.,828,16,1,"November 1, 2020"
bonnnetwork,Bonnnetwork | TTV,I do not regret cracking the DLC's,410,91,1,"September 14, 2023"
